GroundTruth_Tri_Label	||Prediction_Tri_Label	||Trigger	||GroundTruth_Ant_Label	||Prediction_Ant_Lable	||Antecedent	||Test_Instance
0	||1	||are	||0	||0	||have pushed for easy money , the Treasury to reduce its debt management problems and Congress to satisfy powerful producer constituencies who want a weak dollar for short-term competitive gains in world markets	||Those sound like innocuous changes , but they 're not . Both the Treasury and Congress traditionally have pushed for easy money , the Treasury to reduce its debt management problems and Congress to satisfy powerful producer constituencies who want a weak dollar for short-term competitive gains in world markets . Congressional pressures on the Fed similar to those that produced the savings and loan mess are an awful thought .
1	||1	||has	||0	||1	||rose sharply in August , according to yesterday 's report	||Mr. Mehta observed that the U.S. merchandise trade deficit , which rose sharply in August , according to yesterday 's report , has been having less and less impact on the gold market . `` The dollar has n't reacted much to it , so gold has n't either , '' he said .
1	||1	||did	||1	||1	||fully support the resistance 	||But there never was a chance that the Afghan resistance would overthrow the Kabul regime quickly and easily . Soviet leaders said they would support their Kabul clients by all means necessary -- and did . The U.S. said it would fully support the resistance -- and did n't .
1	||1	||were	||0	||0	||are selling at only about 13 times per-share earnings , compared with about 20 two years ago	||But despite its hair-trigger edginess , whether the market today will in fact mirror 1987 with a further dive is a far different matter . There are many reasons to think that what appeared Friday is another species of bear , and a less vicious one . The reasons include the obvious differences in the market between this fall and 1987 : Interest rates have n't been rising this time , as they were in 1987 ; the dollar , though hit Friday , has n't been eroding dangerously ; the economy is n't overheating ; and , above all , stocks are far from being as wildly overpriced : They are selling at only about 13 times per-share earnings , compared with about 20 two years ago .
1	||1	||to	||1	||1	||running them during tomorrow night 's World Series broadcast 	||PaineWebber Inc. filmed a new television commercial at 4 p.m. EDT yesterday and had it on the air by last night . Fidelity Investments placed new ads in newspapers yesterday , and wrote another new ad appearing today . Shearson Lehman Hutton Inc. by yesterday afternoon had already written new TV ads . It considered running them during tomorrow night 's World Series broadcast but decided not to when the market recovered yesterday . Other brokerage firms , including Merrill Lynch & Co. , were plotting out potential new ad strategies .
0	||1	||are	||0	||0	||satisfy powerful producer constituencies who want a weak dollar for short-term competitive gains in world markets	||Those sound like innocuous changes , but they 're not . Both the Treasury and Congress traditionally have pushed for easy money , the Treasury to reduce its debt management problems and Congress to satisfy powerful producer constituencies who want a weak dollar for short-term competitive gains in world markets . Congressional pressures on the Fed similar to those that produced the savings and loan mess are an awful thought .
1	||1	||has	||0	||1	||shared	||Mr. Sim is confident that the drive to dominate certain niche markets will work at Barry Wright as it has at Applied . He also professes an `` evangelical '' fervor to develop a corporate culture that rewards managers who produce and where decision-making is shared .
1	||1	||is	||1	||1	||bolstered 	||But the stock market as a whole , bolstered as it is by takeover speculation , remains vulnerable to any further pullback by takeover financiers , both in the junkbond market and among commercial banks . For debt-ridden suitors , `` the takeover game has been over for some time , '' says New York money manager Neil Weisman of Chilmark Capital , who has been keeping 85 % of his portfolio in cash . `` The market is just waking up to that point . ''
1	||1	||did	||0	||1	||showed the biggest sales gains	||Manufacturers showed the biggest sales gains ; their sales rose 5.6 % , while factory inventories only grew 0.3 % . Retailers ' sales increased 0.7 % , as did their inventories . Wholesalers ' sales climbed 1.5 % , while their inventories dropped 0.1 % .
1	||1	||do	||1	||1	||got a chair 	||Now , dozens of corporations , including Ethan Allen , TW Services and York International , that are counting on at least $ 7 billion of scheduled new junk financings to keep their highly leveraged takeovers and buy-outs afloat , may never get the money . `` The music has stopped playing , '' says Michael Harkins , a principal in the investment firm of Levy Harkins . `` You 've either got a chair or you do n't . ''
1	||1	||did	||0	||1	||seen whether their ads will be any more effective	||In any case , the brokerage firms are clearly moving faster to create new ads than they did in the fall of 1987 . But it remains to be seen whether their ads will be any more effective . In 1987 , despite a barrage of ads from most of the major investment firms , individuals ran from the market en masse . Now the firms must try their hardest to prove that advertising can work this time around .
1	||1	||did	||0	||1	||'s just fine	||Hard on the heels of Friday 's 190-point stock-market plunge and the uncertainty that 's followed , a few big brokerage firms are rolling out new ads trumpeting a familiar message : Keep on investing , the market 's just fine . Their mission is to keep clients from fleeing the market , as individual investors did in droves after the crash in October
1	||1	||has	||0	||1	||rose sharply in August , according to yesterday 's report	||Mr. Mehta observed that the U.S. merchandise trade deficit , which rose sharply in August , according to yesterday 's report , has been having less and less impact on the gold market . `` The dollar has n't reacted much to it , so gold has n't either , '' he said .
1	||1	||do	||0	||0	||are immigrants	||In `` Chicken Soup , '' Mr. Mason plays Jackie , a Jewish bachelor courting Maddie ( Lynn Redgrave ) , an Irish widow and mother of three , against the wishes of his mother ( Rita Karin ) and her brother Michael ( Brandon Maggart ) . It 's worth noting that both disapproving relatives are immigrants . At least , they both speak with strong accents , as do Jackie and Maddie . It could n't be more obvious that `` Chicken Soup '' is being made from an old recipe . And a safe one -- imagine if the romance in question were between an Orthodox Jew and a member of the Nation of Islam .
1	||1	||did	||0	||0	||'s counterproductive	||It 's appropriate for U.S. officials to keep hammering for more open trade policies , as U.S. Trade Representative Carla Hills did in Seoul last week . But there 's also sometimes a tendency in American political circles to pick especially on South Korea , out of frustration over our inability to do much about Japan . That 's counterproductive .
1	||1	||are	||0	||1	||contend that advertising is the bane of television	||While some in the U.S. contend that advertising is the bane of television , here many believe that its absence is to blame for the European TV industry 's sluggish development . Until recently , national governments in Europe controlled most of the air time and allowed little or no advertising . Since production costs were guaranteed , it did n't matter that a program could n't be sold abroad or put into syndication , as most American programs are . But not much money was spent on the shows , either , a situation that encouraged cheap-to-make talk and game shows , while discouraging expensive-to-produce dramas .
1	||1	||would	||0	||0	||implied that his type of ethnic humor is itself a form of racism	||If Mr. Mason had used less derogatory language to articulate his amateur analysis of the voting behavior of his fellow New Yorkers , would the water be quite so hot ? It probably would , because few or none of the people upset by Mr. Mason 's remarks have bothered to distinguish between the substance of his comments and the fact that he used insulting language . In addition , some of Mr. Mason 's critics have implied that his type of ethnic humor is itself a form of racism .
1	||1	||did	||1	||1	||tell Mr. Roh in no uncertain terms that this kind of behavior is unacceptable 	||South Korea is `` critically important to us now , both economically and in terms of security , '' says Sen. Richard Lugar ( R. , Ind. ) , the former chairman of the Senate Foreign Relations Committee . `` Unfortunately , many Americans do n't think much about Korea . But the miracle of their economic growth and the development of democracy -- imperfect though it is -- are very important to the United States . '' One major topic during Mr. Roh 's visit will be human rights . Due process still is denied in South Korea ; a few months ago , Kim Dae Jung , the major opposition leader , was detained and interrogated for 20 hours by security thugs . Just as Pope John Paul II did in Seoul last week , President Bush and members of Congress ought to tell Mr. Roh in no uncertain terms that this kind of behavior is unacceptable .
1	||1	||do	||0	||0	||do not	||`` By encouraging massive , routine , voluntary testing we can enable society to voluntarily segregate itself sexually into two groups : those who carry the virus and those who do not , '' the Indianapolis research organization said in a new report .
1	||1	||was	||0	||0	||led a crusade to pump up the Contras or SDI	||It is n't surprising that President Bush has n't led a crusade to pump up the Contras or SDI . Though he nominally supports both programs , Mr. Bush has n't been a passionate champion of either cause , as Mr. Reagan was .
1	||1	||did	||0	||0	||gearing up in case a crisis wallops the London market	||Authorities , including the Bank of England and the Securities Association , are gearing up in case a crisis wallops the London market . The bank was in touch with other major central banks over the weekend and was preparing to make capital available to dealers if needed , as it did in the 1987 crash , according to people familiar with the bank 's strategy .
1	||1	||will	||1	||1	||buy stock 	||On Friday , the market makers , who must be prepared to buy stock when no one else will , were frantically cutting the prices at which they would take stocks off sellers ' hands , in reaction to plunging prices on the New York Stock Exchange , according to Mr. Rosenbach .
1	||1	||will	||1	||1	||probably post a drop in third-quarter earnings 	||But securities analysts say Phillips will be among the companies hard-hit by weak chemical prices and will probably post a drop in third-quarter earnings . So , too , many analysts predict , will Exxon Corp. , Chevron Corp. and Amoco Corp .
1	||1	||were	||0	||1	||worse	||While oil prices have been better than expected , natural gas prices have been worse . In the third quarter , they averaged about 5 % less than they were in 1988 . The main reason remains weather . Last summer was notable for a heat wave and drought that caused utilities to burn more natural gas to feed increased electrical demand from air conditioning use . This summer , on the other hand , had milder weather than usual .
1	||1	||does	||1	||1	||uses mostly red and blue , with traces of yellow 	||Sony found a new market niche , but Mr. Kaye figured that its prices left plenty of room for a lower-priced competitor . His products are n't exact copies of Sony 's but strongly resemble them in size , shape and , especially , color . Sony uses mostly red and blue , with traces of yellow -- and so does Justin , on the theory that kids prefer these colors . ( `` To be successful , a product can be any color whatsoever , as long as it is fire-engine red , '' says Charles E. Baxley , Justin 's attorney . )
1	||1	||does	||0	||0	||simmer : yuppies vs. blue-collar Bostonians in `` Cheers '' ; children vs. adults in `` The Cosby Show	||Do n't say the TV sitcom , because that happens to be a genre that , in its desperate need to attract everybody and offend nobody , resembles politics more than it does comedy . It is true that the best sitcoms do allow group differences to simmer : yuppies vs. blue-collar Bostonians in `` Cheers '' ; children vs. adults in `` The Cosby Show . '' But these are not the differences that make headlines .
1	||1	||did	||0	||0	||prevent a financial crisis	||Federal Reserve Chairman Alan Greenspan was on the telephones , making it clear to officials in the U.S. and abroad that the Fed was prepared to inject massive amounts of money into the banking system , as it did in October 1987 , if the action were needed to prevent a financial crisis .
1	||1	||did	||1	||1	||fall as fast 	||Many are quick to emphasize that just because the market can fall as fast as it did Friday does n't mean it will tank again , despite some disquieting similarities between now and October 1987 . As in 1987 , this latest market slide was preceded by sparring between nations and government officials over the dollar .
1	||1	||does	||0	||1	||talking directly to the ANC	||As the days go by , the South African government will be ever more hard pressed to justify the continued imprisonment of Mr. Mandela as well as the continued banning of the ANC and enforcement of the state of emergency . If it does n't yield on these matters , and eventually begin talking directly to the ANC , the expectations and promise raised by yesterday 's releases will turn to disillusionment and unrest . If it does , the large number of right-wing whites , who oppose any concessions to the black majority , will step up their agitation and threats to take matters into their own hands .
1	||1	||did	||0	||1	||added another 5 % Monday before stocks rallied	||For instance , First Quadrant Corp. , an asset allocator based in Morristown , N.J. , said it quickly boosted stock positions in its `` aggressive '' accounts to 75 % from 55 % to take advantage of plunging prices Friday . It added another 5 % Monday before stocks rallied . When they did , the firm reduced those stock holdings to about 70 % .
1	||1	||does	||1	||1	||leads to increased anti-government protests and violence 	||The newly released ANC leaders also will be under enormous pressure . The government is watching closely to see if their presence in the townships leads to increased anti-government protests and violence ; if it does , Pretoria will use this as a reason to keep Mr. Mandela behind bars . Pretoria has n't forgotten why they were all sentenced to life imprisonment in the first place : for sabotage and conspiracy to overthrow the government .
1	||1	||do	||0	||1	||sit tight	||Even for people who expect a bear market in coming months -- and a sizable number of money managers and market pundits do -- the advice is : Wait for the market to bounce back , and sell shares gradually during rallies . The best thing individual investors can do is `` just sit tight , '' says Marshall B. Front , executive vice president and head of investment counseling at Stein Roe & Farnham Inc. , a Chicago-based investment counseling firm that manages about $ 18 billion .
0	||1	||does	||0	||1	||does n't	||Currently in the middle of a four-week , 20-city tour as a solo pianist , Mr. Glass has left behind his synthesizers , equipment and collaborators in favor of going it alone . He sits down at the piano and plays . And plays . Either one likes it or one does n't . The typical Glass audience , which is more likely to be composed of music students than their teachers , certainly does .
1	||1	||will	||0	||1	||be prepared to buy stock when no one else will	||On Friday , the market makers , who must be prepared to buy stock when no one else will , were frantically cutting the prices at which they would take stocks off sellers ' hands , in reaction to plunging prices on the New York Stock Exchange , according to Mr. Rosenbach .
1	||1	||do	||0	||0	||said that trend was offset in the first quarter by better economies of scale and efficiencies in manufacturing	||The company had been experiencing softening margins because of increased sales of software applications , which have lower margins than do operating systems . But the company said that trend was offset in the first quarter by better economies of scale and efficiencies in manufacturing .
1	||1	||did	||0	||0	||ended 27.5 % above its 1988 close	||`` Singapore took the hit because when people want to get out , they tend to go where the liquidity is , '' said Elizabeth Hambrecht , a regional analyst with Baring Securities ( Hong Kong ) Ltd . She pointed out that even after Monday 's 10 % decline , the Straits Times index is up 24 % this year , so investors who bailed out generally did so profitably . Similarly , Kuala Lumpur 's composite index yesterday ended 27.5 % above its 1988 close .
1	||1	||did	||0	||0	||look at the borough the way Tom Wolfe 's Sherman McCoy did in `` Bonfire of the Vanities '' -- as a wrong turn into hell	||The Bronx has a wonderful botanical garden , a great zoo , its own charming Little Italy ( on Arthur Avenue ) and , of course , the Yankees . However , most people , having been subjected to news footage of the devastated South Bronx , look at the borough the way Tom Wolfe 's Sherman McCoy did in `` Bonfire of the Vanities '' -- as a wrong turn into hell .
1	||1	||does	||0	||1	||more likely to be composed of music students than their teachers	||Currently in the middle of a four-week , 20-city tour as a solo pianist , Mr. Glass has left behind his synthesizers , equipment and collaborators in favor of going it alone . He sits down at the piano and plays . And plays . Either one likes it or one does n't . The typical Glass audience , which is more likely to be composed of music students than their teachers , certainly does .
1	||1	||does	||0	||0	||allow group differences to simmer : yuppies vs. blue-collar Bostonians in `` Cheers '' ; children vs. adults in `` The Cosby Show	||Do n't say the TV sitcom , because that happens to be a genre that , in its desperate need to attract everybody and offend nobody , resembles politics more than it does comedy . It is true that the best sitcoms do allow group differences to simmer : yuppies vs. blue-collar Bostonians in `` Cheers '' ; children vs. adults in `` The Cosby Show . '' But these are not the differences that make headlines .
1	||1	||did	||0	||0	||did	||By 1982 , however , the patent status of the Lanier microcassette had changed , permitting Dictaphone to develop its own competitive micro system , which it did . Marketing and sales departments then urged abandonment of the pico project . But others said pico should proceed . Both were right .
1	||1	||can	||0	||0	||be that you could n't modify the immune response of an infected individual '' by innoculating them with synthetic viral proteins	||`` The conventional wisdom used to be that you could n't modify the immune response of an infected individual '' by innoculating them with synthetic viral proteins , Dr. Redfield said . `` We 've demonstrated that you can . ''
1	||1	||to	||0	||1	||requires	||When the fiscal year began on Oct. 1 , the Office of Management and Budget began withholding 4.3 % of the Pentagon 's money and 5.3 % of other agencies ' money , as the Gramm-Rudman law requires . Those cuts , known as a `` sequester '' in budget jargon , became permanent yesterday , although Congress could cancel or rescind them whenever it wants to . Under a special provision of the law , the government yesterday began slicing 2 % from Medicare payments made to doctors and hospitals .
1	||1	||did	||1	||0	||hold off until the market stabilized 	||Then , to make matters worse , computerized sell programs kicked in , hammering stocks into steeper losses . There was heavy stock-index arbitrage , as traders sold big baskets of stock and bought stock-index futures to profit from the price discrepancies between the two markets . This was a hangover from Friday , when Standard & Poor 's 500-stock index futures had closed at a sharp discount to stocks . The onslaught of the program selling dashed any hopes that some of the big program trading firms would hold off until the market stabilized . They did n't . The Dow accelerated its slide , losing 63.52 in the first 40 minutes of trading .
1	||1	||did	||0	||1	||as dominant on the upside as on the downside	||Then at 10:15 the Dow suddenly started to rebound , and when it shot upward it did so even faster than the early-morning fall . And this time , it was n't just the program traders who were responsible . All the selling had pushed stocks to such cheap values that big investment banks and major money management firms started buying stocks heavily . The program traders were in there , too , of course . But according to one trader , the programmers `` did n't look as dominant on the upside as on the downside because there was { also } a lot of bargain-hunting '' by institutions .
0	||1	||are	||0	||1	||does	||Sony found a new market niche , but Mr. Kaye figured that its prices left plenty of room for a lower-priced competitor . His products are n't exact copies of Sony 's but strongly resemble them in size , shape and , especially , color . Sony uses mostly red and blue , with traces of yellow -- and so does Justin , on the theory that kids prefer these colors . ( `` To be successful , a product can be any color whatsoever , as long as it is fire-engine red , '' says Charles E. Baxley , Justin 's attorney . )
1	||1	||were	||0	||1	||better	||While oil prices have been better than expected , natural gas prices have been worse . In the third quarter , they averaged about 5 % less than they were in 1988 . The main reason remains weather . Last summer was notable for a heat wave and drought that caused utilities to burn more natural gas to feed increased electrical demand from air conditioning use . This summer , on the other hand , had milder weather than usual .
1	||1	||was	||1	||1	||a passionate champion of either cause 	||It is n't surprising that President Bush has n't led a crusade to pump up the Contras or SDI . Though he nominally supports both programs , Mr. Bush has n't been a passionate champion of either cause , as Mr. Reagan was .
1	||1	||did	||0	||1	||may improve this quarter	||Major oil companies in the next few days are expected to report much less robust earnings than they did for the third quarter a year ago , largely reflecting deteriorating chemical prices and gasoline profitability . The gasoline picture may improve this quarter , but chemicals are likely to remain weak , industry executives and analysts say , reducing chances that profits could equal their year-earlier performance .
1	||1	||did	||1	||1	||interpreted his eagerness and studiousness 	||Some American officers interpreted his eagerness and studiousness as a sign of loyalty , but they did so falsely . He rose to chief of intelligence in Panama 's socalled G-2 in 1970 after providing populist dictator Torrijos the critical support to defeat a coup attempt against him a year earlier . He became Gen. Torrijos 's inseparable shadow , and the holder of all Panama 's secrets . Mr. Noriega , by now a lieutenant colonel , expanded his contacts to include the Cubans -- not to mention the Israelis , the Taiwanese and any other intelligence service that came knocking . When U.S. diplomats complained to the CIA of Col. Noriega 's moonlighting , intelligence experts always insisted that his allegiance was first to the Americans .
1	||1	||did	||0	||1	||needed to consolidate permanent control	||With the February 1987 U.N. accords `` relating to Afghanistan , '' the Soviet Union got everything it needed to consolidate permanent control . The terms of the Geneva accords leave Moscow free to provide its clients in Kabul with assistance of any kind -- including the return of Soviet ground forces -- while requiring the U.S. and Pakistan to cut off aid . The only fly in the Soviet ointment was the last-minute addition of a unilateral American caveat , that U.S. aid to the resistance would continue as long as Soviet aid to Kabul did . But as soon as the accords were signed , American officials sharply reduced aid . In February 1989 , when the Soviets said they had completed their pullout , the U.S. cut it further .
1	||1	||do	||1	||1	||expect a bear market in coming months 	||Even for people who expect a bear market in coming months -- and a sizable number of money managers and market pundits do -- the advice is : Wait for the market to bounce back , and sell shares gradually during rallies . The best thing individual investors can do is `` just sit tight , '' says Marshall B. Front , executive vice president and head of investment counseling at Stein Roe & Farnham Inc. , a Chicago-based investment counseling firm that manages about $ 18 billion .
1	||1	||do	||0	||1	||likely to survive the 1990s	||But now , with Bull in firm control , these U.S. operations are key ingredients in Mr. Lorentz 's plans to ensure that Bull remains one of the half-dozen or so world-wide , full-range computer companies likely to survive the 1990s . To do so , Bull is planting itself firmly in the U.S. , where , says Mr. Lorentz , a lot of the best people and research are . The Zenith buy means Bull will derive 22 % of its revenue from the U.S. -- up from 18 % previously -- and the company spends 30 % of its 3.64 billion-franc research and development budget in the U.S .
1	||1	||have	||0	||0	||indicate that the fourth quarter , a time shipments usually pick up , will be weak as well	||Recent order rates indicate that the fourth quarter , a time shipments usually pick up , will be weak as well . Merrill Lynch 's Mr. Bradford said , `` We have n't seen the pickup in flat rolled orders that we should have . '' Flat rolled steel is the industry 's major product .
1	||1	||did	||0	||0	||did in Britain in the 1970s , thereby crippling the economy	||Easy money advocates , however , are adept at spreading economic myths . There is the constant insistence that the Fed could lower interest rates were it not so obstinate . The Fed indeed can lower short-term interest rates by pumping reserves into the banks , but it ca n't do much about them from there on . If the reserves generate inflation , which is what the Fed fears most right now , interest rates will go up as lenders demand a premium . Enough inflation can ultimately even wipe out the bond market , as it did in Britain in the 1970s , thereby crippling the economy .
0	||1	||do	||0	||1	||want to do	||But now , the magazine is attempting to fight back , with an ambitious plan including a revamped sales strategy and a surprisingly aggressive ad campaign . Advertisers do n't think of the magazine first , says Joan McCraw , who joined in April as national advertising director . `` What we want to do is take a more aggressive stance . People did n't believe we were in tune with the marketplace , and in many ways we were n't . ''
1	||1	||will	||1	||1	||recognize these problems more quickly and accurately 	||If takeover premiums become excessive , if LBO dealmakers become too aggressive , then the private market will recognize these problems more quickly and accurately than will policy makers , and the markets will move with lightning speed to impose appropriate sanctions . Yes , the broader exchanges got caught up in the spiral , but they rode the tiger up all year . Not surprisingly , he sometimes bites .
1	||1	||did	||0	||0	||stood to gain in the initial transaction	||When bank financing for the buy-out collapsed last week , so did UAL 's stock . Even if the banks resurrect a financing package at $ 250 a share , the two executives would still get about $ 25 million less than they stood to gain in the initial transaction .
1	||1	||did	||0	||0	||to be seen whether their ads will be any more effective	||In any case , the brokerage firms are clearly moving faster to create new ads than they did in the fall of 1987 . But it remains to be seen whether their ads will be any more effective . In 1987 , despite a barrage of ads from most of the major investment firms , individuals ran from the market en masse . Now the firms must try their hardest to prove that advertising can work this time around .
1	||1	||did	||1	||1	||look at the borough 	||The Bronx has a wonderful botanical garden , a great zoo , its own charming Little Italy ( on Arthur Avenue ) and , of course , the Yankees . However , most people , having been subjected to news footage of the devastated South Bronx , look at the borough the way Tom Wolfe 's Sherman McCoy did in `` Bonfire of the Vanities '' -- as a wrong turn into hell .
1	||1	||do	||0	||0	||imagine if the romance in question were between an Orthodox Jew and a member of the Nation of Islam	||In `` Chicken Soup , '' Mr. Mason plays Jackie , a Jewish bachelor courting Maddie ( Lynn Redgrave ) , an Irish widow and mother of three , against the wishes of his mother ( Rita Karin ) and her brother Michael ( Brandon Maggart ) . It 's worth noting that both disapproving relatives are immigrants . At least , they both speak with strong accents , as do Jackie and Maddie . It could n't be more obvious that `` Chicken Soup '' is being made from an old recipe . And a safe one -- imagine if the romance in question were between an Orthodox Jew and a member of the Nation of Islam .
1	||1	||are	||0	||1	||tending the water meters during the graveyard shift	||Mr. Li 's wife , Xia Huaqiong , also works at the factory , tending the water meters during the graveyard shift . There are few prospects for upward mobility , and Mr. Li 's daughter , seven-year-old Li Shu , is certain to toil at the factory too someday , as are more than 10,000 of the workers ' children .
1	||1	||were	||0	||0	||as wildly overpriced	||But despite its hair-trigger edginess , whether the market today will in fact mirror 1987 with a further dive is a far different matter . There are many reasons to think that what appeared Friday is another species of bear , and a less vicious one . The reasons include the obvious differences in the market between this fall and 1987 : Interest rates have n't been rising this time , as they were in 1987 ; the dollar , though hit Friday , has n't been eroding dangerously ; the economy is n't overheating ; and , above all , stocks are far from being as wildly overpriced : They are selling at only about 13 times per-share earnings , compared with about 20 two years ago .
1	||1	||did	||0	||1	||finance an incredible spending spree	||These two myths have caused the republic untold damage . The U.S. economy took on an inflationary bias when the Fed was forced to finance an incredible spending spree by Lyndon Johnson . Richard Nixon exacerbated the problem when , in response to pressures from Congress , he applied price and wage controls in August 1971 , thereby discouraging production . Jimmy Carter ultimately hired Mr. Volcker to kill inflation , which was reaching dangerous levels . He did , too late to save Mr. Carter from forced retirement .
0	||1	||are	||0	||1	||sound like innocuous changes	||Those sound like innocuous changes , but they 're not . Both the Treasury and Congress traditionally have pushed for easy money , the Treasury to reduce its debt management problems and Congress to satisfy powerful producer constituencies who want a weak dollar for short-term competitive gains in world markets . Congressional pressures on the Fed similar to those that produced the savings and loan mess are an awful thought .
1	||1	||did	||0	||0	||were needed to prevent a financial crisis	||Federal Reserve Chairman Alan Greenspan was on the telephones , making it clear to officials in the U.S. and abroad that the Fed was prepared to inject massive amounts of money into the banking system , as it did in October 1987 , if the action were needed to prevent a financial crisis .
1	||1	||were	||0	||0	||usual	||While oil prices have been better than expected , natural gas prices have been worse . In the third quarter , they averaged about 5 % less than they were in 1988 . The main reason remains weather . Last summer was notable for a heat wave and drought that caused utilities to burn more natural gas to feed increased electrical demand from air conditioning use . This summer , on the other hand , had milder weather than usual .
1	||1	||be	||0	||0	||be	||Are narrow , Must they always be .
1	||1	||does	||0	||1	||more likely to be composed of music students than their teachers	||Currently in the middle of a four-week , 20-city tour as a solo pianist , Mr. Glass has left behind his synthesizers , equipment and collaborators in favor of going it alone . He sits down at the piano and plays . And plays . Either one likes it or one does n't . The typical Glass audience , which is more likely to be composed of music students than their teachers , certainly does .
1	||1	||did	||0	||1	||did Friday	||Many are quick to emphasize that just because the market can fall as fast as it did Friday does n't mean it will tank again , despite some disquieting similarities between now and October 1987 . As in 1987 , this latest market slide was preceded by sparring between nations and government officials over the dollar .
1	||1	||should	||1	||1	||go public 	||Officers of the company , a health-care concern , `` were very discouraged on Friday and felt they should n't go public ; we felt they should , '' says Sanford Robertson , partner in the banking concern .
1	||1	||did	||0	||0	||changed , permitting Dictaphone to develop its own competitive micro system , which it did	||By 1982 , however , the patent status of the Lanier microcassette had changed , permitting Dictaphone to develop its own competitive micro system , which it did . Marketing and sales departments then urged abandonment of the pico project . But others said pico should proceed . Both were right .
1	||1	||did	||0	||1	||receives as interest payments	||The net interest margin - the difference between the bank 's cost of funds and what it receives as interest payments -- improved in the quarter , as did certain areas of wholesale banking .
0	||1	||does	||1	||1	||likes it 	||Currently in the middle of a four-week , 20-city tour as a solo pianist , Mr. Glass has left behind his synthesizers , equipment and collaborators in favor of going it alone . He sits down at the piano and plays . And plays . Either one likes it or one does n't . The typical Glass audience , which is more likely to be composed of music students than their teachers , certainly does .
1	||1	||could	||1	||1	||postponing deals 	||In the wake of Friday 's plunge and yesterday 's rebound , some companies are already postponing deals , and others wish they could . As in other jittery times , many small businesses expect a particularly rough time raising funds as investors shun risky deals , seeking safety in bigger companies .
1	||1	||did	||0	||0	||would overthrow the Kabul regime quickly and easily	||But there never was a chance that the Afghan resistance would overthrow the Kabul regime quickly and easily . Soviet leaders said they would support their Kabul clients by all means necessary -- and did . The U.S. said it would fully support the resistance -- and did n't .
1	||1	||do	||0	||1	||may resume payments of dividends on the preferred stock	||The energy-services concern said , however , that in January 1990 , it may resume payments of dividends on the preferred stock . Weatherford suspended its preferred-dividend payment in October 1985 and said it has n't any plans to catch up on dividends in arrears about $ 6 million , but will do so some time in the future .
1	||1	||has	||0	||0	||needed to analyze whether leaders of coups against Gen. Noriega meet the War Powers Act 's six points , Cap Weinberger 's seven points , the Intelligence Committee 's 32 points and Woodrow Wilson 's 14 points necessary to justify U.S. support	||That 's about all it costs to appease Adm. Erich Raeder 's ghost . In 1941 , Raeder and the German navy threatened to attack the Panama Canal , so we created the Southern Command in Panama . The Southern Command has grown even bigger since the war because Raeder 's ghost sometimes runs through the E ring dressed like Gen. Noriega . The Command 's huge bureaucracy is needed to analyze whether leaders of coups against Gen. Noriega meet the War Powers Act 's six points , Cap Weinberger 's seven points , the Intelligence Committee 's 32 points and Woodrow Wilson 's 14 points necessary to justify U.S. support . So far no one has .
1	||1	||did	||0	||1	||sold big baskets of stock	||Then , to make matters worse , computerized sell programs kicked in , hammering stocks into steeper losses . There was heavy stock-index arbitrage , as traders sold big baskets of stock and bought stock-index futures to profit from the price discrepancies between the two markets . This was a hangover from Friday , when Standard & Poor 's 500-stock index futures had closed at a sharp discount to stocks . The onslaught of the program selling dashed any hopes that some of the big program trading firms would hold off until the market stabilized . They did n't . The Dow accelerated its slide , losing 63.52 in the first 40 minutes of trading .
1	||1	||did	||0	||1	||did n't look as dominant on the upside as on the downside because there was { also	||Then at 10:15 the Dow suddenly started to rebound , and when it shot upward it did so even faster than the early-morning fall . And this time , it was n't just the program traders who were responsible . All the selling had pushed stocks to such cheap values that big investment banks and major money management firms started buying stocks heavily . The program traders were in there , too , of course . But according to one trader , the programmers `` did n't look as dominant on the upside as on the downside because there was { also } a lot of bargain-hunting '' by institutions .
1	||1	||is	||0	||1	||wear them behind her left	||The only thing Robert Goldberg could praise about CBS 's new show `` Island Son '' ( Leisure & Arts , Sept. 25 ) was the local color ; unfortunately neither he nor the producers of the show have done their homework . For instance : `` Haole '' ( white ) is not the ultimate insult ; `` Mainland haole '' is . Richard Chamberlain dresses as a `` Mainland haole , '' tucking in a Hawaiian shirt and rolling up its long sleeves . And the local expression for brother is `` brah , '' not `` bruddah . '' And even if a nurse would wear flowers in her hair while on duty , if she were engaged she would know to wear them behind her left , not right , ear . Sorry , the show does not even have the one redeeming quality of genuine local color .
1	||1	||did	||1	||1	||wipe out the bond market 	||Easy money advocates , however , are adept at spreading economic myths . There is the constant insistence that the Fed could lower interest rates were it not so obstinate . The Fed indeed can lower short-term interest rates by pumping reserves into the banks , but it ca n't do much about them from there on . If the reserves generate inflation , which is what the Fed fears most right now , interest rates will go up as lenders demand a premium . Enough inflation can ultimately even wipe out the bond market , as it did in Britain in the 1970s , thereby crippling the economy .
1	||1	||have	||1	||1	||see that initiative 	||`` There are some very significant issues out there , such as the fiscal deficit , the trade deficit , our relations with Japan , that have to be the subject of major initiatives , '' he said in an interview . `` I 'd like to see that initiative , and I have n't . There is n't a big shot , an agenda . ''
1	||1	||did	||1	||1	||dump stocks to raise cash 	||Of course , the relative calm could be jolted if the market plunges again . And any strong surge in redemptions could force some funds to dump stocks to raise cash , as some did during Black Monday .
